horizon,fold,model,family,crisis_state_count,crisis_states_fold,PR_AUC,ROC_AUC,F1,Recall,Precision,Threshold
40,2,Logit,ML,2,"0,1",0.23428623322594444,0.5456112852664576,0.24390243902439024,0.36363636363636365,0.1834862385321101,0.14
40,2,RF,ML,2,"0,1",0.1679293737818503,0.4188675548589342,0.25,0.6636363636363637,0.1540084388185654,0.05
40,2,XGBoost,ML,2,"0,1",0.22637443891149336,0.607562695924765,0.0,0.0,0.0,0.05
40,2,ALSTM,DL,2,"0,1",0.4913740073206719,0.7490007836990595,0.3216374269005848,1.0,0.1916376306620209,0.05
40,2,CausalTCN,DL,2,"0,1",0.8185694958996411,0.9653017241379309,0.0,0.0,0.0,0.43
40,3,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.8300000000000001
40,3,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.49
40,3,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.18000000000000002
40,3,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.59
40,3,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.91
40,4,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.99
40,4,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.51
40,4,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.15000000000000002
40,4,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.98
40,4,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.93
40,5,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.9600000000000001
40,5,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.5
40,5,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.11
40,5,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.98
40,5,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.92
60,2,Logit,ML,2,"0,1",0.37946951174619703,0.6075157232704402,0.10638297872340426,0.06666666666666667,0.2631578947368421,0.05
60,2,RF,ML,2,"0,1",0.27902725958588803,0.5583647798742138,0.43263757115749524,0.76,0.30238726790450926,0.05
60,2,XGBoost,ML,2,"0,1",0.4505977830939335,0.725566037735849,0.3548387096774194,0.36666666666666664,0.34375,0.05
60,2,ALSTM,DL,2,"0,1",0.6965429651384737,0.6440723270440252,0.4143646408839779,1.0,0.2613240418118467,0.05
60,2,CausalTCN,DL,2,"0,1",0.44344054801211713,0.5597484276729561,0.0,0.0,0.0,0.55
60,3,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.8400000000000001
60,3,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.23
60,3,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.23
60,3,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.09999999999999999
60,3,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.92
60,4,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.9600000000000001
60,4,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.23
60,4,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.16
60,4,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.09
60,4,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.9
60,5,Logit,ML,2,"2,4",,,0.0,0.0,0.0,0.05
60,5,RF,ML,2,"2,4",,,0.0,0.0,0.0,0.65
60,5,XGBoost,ML,2,"2,4",,,0.0,0.0,0.0,0.68
60,5,ALSTM,DL,2,"2,4",,,0.0,0.0,0.0,0.5
60,5,CausalTCN,DL,2,"2,4",,,0.0,0.0,0.0,0.92
