Date,horizon,model,ml_model,dl_model,ml_prob,dl_prob,y_prob,y_pred,threshold,crisis_state_count,crisis_states,crisis_tci_threshold,signal_mode
2002-08-16,60,Hybrid,RF,ALSTM,0.744555708138552,0.73242176,0.7384887319646312,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-19,60,Hybrid,RF,ALSTM,0.7715470305436015,0.7369904,0.7542687113758504,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-20,60,Hybrid,RF,ALSTM,0.8287782846602341,0.74634093,0.7875596075610588,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-21,60,Hybrid,RF,ALSTM,0.83819311076586,0.75448966,0.7963413855144608,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-22,60,Hybrid,RF,ALSTM,0.8679869166637244,0.76263356,0.8153102393758686,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-23,60,Hybrid,RF,ALSTM,0.866375924491599,0.76489556,0.8156357414244189,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-26,60,Hybrid,RF,ALSTM,0.8742986957469825,0.7695894,0.8219440599401416,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-27,60,Hybrid,RF,ALSTM,0.8674106539124622,0.77515686,0.8212837547478266,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-28,60,Hybrid,RF,ALSTM,0.8658625363351687,0.7812216,0.8235420822621278,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-29,60,Hybrid,RF,ALSTM,0.8620986937654106,0.79029566,0.8261971771305843,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-08-30,60,Hybrid,RF,ALSTM,0.8625876106652259,0.79878354,0.830685575695467,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-02,60,Hybrid,RF,ALSTM,0.868542844515977,0.80595934,0.8372510942130971,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-03,60,Hybrid,RF,ALSTM,0.8554423654388679,0.81302816,0.8342352610981113,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-04,60,Hybrid,RF,ALSTM,0.8172384669175254,0.81963664,0.8184375549252086,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-05,60,Hybrid,RF,ALSTM,0.8036340877533535,0.8212897,0.8124619029522231,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-06,60,Hybrid,RF,ALSTM,0.7945926325944392,0.8219711,0.808281875522302,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-09,60,Hybrid,RF,ALSTM,0.7941096586222398,0.8232938,0.8087017318723076,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-10,60,Hybrid,RF,ALSTM,0.7826051814180935,0.8243936,0.8034993759206099,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-11,60,Hybrid,RF,ALSTM,0.7649218815982066,0.8108059,0.7878638991922002,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-12,60,Hybrid,RF,ALSTM,0.7643665475231324,0.79808277,0.7812246582201081,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-13,60,Hybrid,RF,ALSTM,0.7814083943013398,0.78841203,0.784910214406453,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-16,60,Hybrid,RF,ALSTM,0.7796653263003952,0.779348,0.7795066710428062,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-17,60,Hybrid,RF,ALSTM,0.7756797154168408,0.770398,0.7730388680805822,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-18,60,Hybrid,RF,ALSTM,0.7736717323756725,0.7614901,0.7675809194791571,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-19,60,Hybrid,RF,ALSTM,0.7757028300933163,0.7529184,0.7643106261577268,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-20,60,Hybrid,RF,ALSTM,0.7705108435953926,0.7481839,0.7593473748368655,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-23,60,Hybrid,RF,ALSTM,0.769038695345055,0.74785304,0.7584458680201227,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-24,60,Hybrid,RF,ALSTM,0.7627269540320593,0.7387729,0.7507499413734058,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-25,60,Hybrid,RF,ALSTM,0.7569757833018677,0.7414227,0.7491992480523773,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-26,60,Hybrid,RF,ALSTM,0.7688554486144017,0.7524726,0.7606640140468096,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-27,60,Hybrid,RF,ALSTM,0.7665425792937235,0.7654623,0.7660024293067433,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-09-30,60,Hybrid,RF,ALSTM,0.7657841832111245,0.77737826,0.7715812221502247,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-01,60,Hybrid,RF,ALSTM,0.7566337166508362,0.7844608,0.7705472498277985,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-02,60,Hybrid,RF,ALSTM,0.7542071366357632,0.76521456,0.7597108495259199,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-03,60,Hybrid,RF,ALSTM,0.7612996926316772,0.694169,0.7277343387608306,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-04,60,Hybrid,RF,ALSTM,0.75730212020118,0.64254826,0.6999251916370738,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-07,60,Hybrid,RF,ALSTM,0.7646667147178814,0.61335665,0.6890116822967611,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-08,60,Hybrid,RF,ALSTM,0.7365081950040897,0.59956247,0.6680353305743257,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-09,60,Hybrid,RF,ALSTM,0.746953831468663,0.6003284,0.6736411086492943,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-10,60,Hybrid,RF,ALSTM,0.7823253744607619,0.58754975,0.6849375602486457,1,0.53,2,"2,4",55.72385627496244,backtest_verified
2002-10-11,60,Hybrid,RF,ALSTM,0.8107078392122951,0.57946974,0.6950887898015363,1,0.53,2,"2,4",55.72385627496244,backtest_verified
