horizon,model,family,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,F1_mean,Recall_mean,Precision_mean
40,Logit,ML,0.5703906498383631,0.2375033845480602,0.7146356882069322,0.37096978503735495,0.6239976031501455,0.4531645789802254
40,RF,ML,0.5023889822899401,0.2529883173567133,0.5793825715184229,0.26369457183091216,0.573151001540832,0.3675236336545852
40,XGBoost,ML,0.48735164489162075,0.2994039663911355,0.558878048923778,0.2677583689837252,0.35907764081492893,0.2582311831848197
40,CausalTCN,DL,0.41074351709633505,0.3515771083236917,0.5606955636469179,0.2106543604821327,0.44474875877418246,0.15538375740387148
40,ALSTM,DL,0.3873565367346908,0.3557538349995712,0.5665740649725134,0.2653679521541753,0.6446590909090909,0.16833197147245144
60,ALSTM,DL,0.5359719573072479,0.31076927189295217,0.6190933170538924,0.2514982707276985,0.41244444444444445,0.25267105154567526
60,Logit,ML,0.5011073782099841,0.15571653226064075,0.6269328095025049,0.42666966055388167,0.6049891281314206,0.4986328137683307
60,RF,ML,0.44371649262556245,0.062137242829560534,0.5749354696043799,0.355503211057529,0.661337924701561,0.25001114297267346
60,XGBoost,ML,0.4257232723797021,0.057311309394576355,0.5925538360469704,0.3110400518793829,0.4796743015438668,0.4696264441307978
60,CausalTCN,DL,0.32796160778538724,0.1462276801949022,0.4927256000270306,0.38501708378003163,0.8,0.25433107062242943
