Date,Open,High,Low,Close,Volume
2002-01-02,387.309,387.309,381.025,383.458,1941400
2002-01-03,383.458,383.458,377.703,381.512,1432500
2002-01-04,383.064,388.283,383.064,385.201,3742400
2002-01-07,385.771,388.724,384.41,388.724,4006400
2002-01-08,388.099,391.445,386.419,387.694,4142200
2002-01-09,387.72,391.498,387.343,391.498,4170100
2002-01-10,391.768,402.069,391.533,402.069,4924300
2002-01-11,403.799,417.48,403.799,411.775,10567200
2002-01-14,413.756,416.485,410.454,415.837,4600800
2002-01-15,416.485,421.915,416.485,421.254,7771500
2002-01-16,422.015,432.581,421.575,423.585,11699000
2002-01-17,422.55,425.042,417.88,425.042,3511200
2002-01-18,425.109,429.651,425.109,426.411,3981000
2002-01-21,426.622,429.032,425.341,426.151,3178100
2002-01-22,425.779,428.836,424.891,428.472,2582700
2002-01-23,428.986,433.975,428.777,433.975,5566400
2002-01-24,435.1,448.63,435.1,445.856,10365400
2002-01-25,446.569,453.438,446.569,452.459,6705200
2002-01-28,452.459,452.459,440.784,441.567,7251000
2002-01-29,440.987,448.626,440.987,446.84,4614900
2002-01-30,446.44,446.44,441.876,444.424,3069900
2002-01-31,444.524,451.636,444.524,451.636,6268200
2002-02-01,453.173,455.943,450.957,454.282,9846100
2002-02-04,453.912,453.912,449.474,451.172,2713900
2002-02-05,451.215,453.507,449.244,450.49,4117600
2002-02-06,450.96,452.23,441.819,446.21,6017300
2002-02-07,446.365,446.365,431.029,433.17,6153100
2002-02-08,431.585,437.74,428.906,436.98,3844900
2002-02-11,437.789,439.019,434.685,438.847,2488800
2002-02-13,438.919,438.919,435.629,436.789,2834600
2002-02-14,437.275,439.952,437.062,439.402,5957800
2002-02-15,439.397,449.381,438.94,449.381,6319500
2002-02-18,449.451,462.559,449.451,462.349,11289600
2002-02-19,462.286,466.674,456.916,460.695,11856000
2002-02-20,459.597,460.079,455.821,458.458,8174500
2002-02-21,458.711,461.835,456.561,459.387,10323100
2002-02-25,459.826,459.826,445.794,449.316,8334600
2002-02-26,449.923,451.105,446.65,448.688,5883100
2002-02-27,449.796,455.019,449.796,454.502,5270400
2002-02-28,454.018,456.458,448.932,453.246,7746500
2002-03-01,452.943,452.943,449.102,452.162,3311800
2002-03-04,453.565,455.286,453.221,455.187,3547500
2002-03-05,455.978,460.657,455.978,459.271,4958000
2002-03-06,459.55,476.961,459.55,476.961,5894400
2002-03-07,472.481,476.166,471.923,472.39,15627200
2002-03-08,473.022,476.382,472.99,475.115,6353300
2002-03-11,474.304,478.278,473.255,474.026,10720900
2002-03-12,474.101,474.359,466.343,469.366,7989400
2002-03-13,469.237,474.415,468.556,474.0,6004000
2002-03-14,474.189,474.189,467.063,467.991,13227000
2002-03-18,467.966,469.676,464.231,469.676,15240800
2002-03-19,470.117,472.308,470.117,471.643,20219500
2002-03-20,471.687,477.754,471.082,477.286,20054300
2002-03-21,477.499,485.578,477.499,480.647,20282000
2002-03-22,480.694,485.276,480.399,484.732,10660500
2002-03-25,484.507,484.507,478.501,479.428,6804300
2002-03-26,480.355,483.889,480.355,481.862,8203600
2002-03-27,483.174,485.055,477.359,481.286,17033800
2002-03-28,481.286,488.128,479.935,481.775,18182100
2002-04-01,482.525,486.668,481.007,486.668,10455800
2002-04-02,487.178,491.79,485.949,489.089,14900200
2002-04-03,489.048,492.08,487.934,488.157,6984600
2002-04-04,489.811,502.5,489.811,502.5,12811200
2002-04-05,500.942,509.9,500.942,508.994,18495100
2002-04-08,509.301,518.094,509.139,515.08,18794900
2002-04-09,515.493,520.629,514.208,520.001,10003700
2002-04-10,521.801,533.808,521.013,533.808,19178800
2002-04-11,534.313,540.617,528.236,531.513,27759800
2002-04-12,530.272,539.909,527.791,539.27,21800600
2002-04-15,541.063,551.969,541.063,549.838,25433200
2002-04-16,550.929,557.593,548.329,551.607,26943000
2002-04-17,553.215,556.126,539.065,542.274,29701500
2002-04-18,542.195,546.72,529.851,534.838,18087100
2002-04-19,534.542,534.542,527.055,532.781,15641200
2002-04-22,533.811,540.63,533.811,535.685,13752900
2002-04-23,535.656,544.672,535.656,543.061,15172600
2002-04-24,544.066,546.956,539.307,544.262,12140300
